Potência,Concessionária,Cliente,Nome do Projeto,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,Total,,Forecast 5+7,V3,Dif MWh,Produção Específica (MWh/MWp/ano)
1.179,EMS,LOGIX,Horizonte III,188.59,182.82,212.16,194.41,190.93,177.06,192.51,224.18,213.12,217.67,202.62,214.39,2410.4599999999996,,2402.5400000000004,2490.1,-0.003285679911717798,2044.4953350296857
6.102,EQUATORIAL GO,SOLARA,Jatobá 1,1073.9,995.9200000000001,1068.8200000000002,1072.24,1113.6899999999998,1051.89,1173.04,1284.73,1199.77,1183,1104.5900000000001,1063.42,13385.01,,13531.15,13929,0.010918183848947383,2193.5447394296953
6.098,EQUATORIAL GO,SOLARA,Jatobá 2,1055.17,1017.8900000000001,1132.57,1074.3999999999999,1059.2,1006.8799999999999,1135.9,1234.6899999999998,1156.6999999999998,1176.67,1093.56,1142.07,13285.7,,13369.529999999999,13781,0.0063097917309586915,2178.69793374877
6.216,EQUATORIAL GO,VERTA,Jatobá 6,859.55,775.6600000000001,847.01,819.8499999999999,812.65,779.58,856.12,962.1,914.98,874.86,827.6500000000001,887.12,10217.130000000001,,12870.619999999999,13371,0.25970991853876746,1643.6824324324325
1.244,EQUATORIAL GO,MINCO,Jatobá 71,210.62,197.24,216.63,215.41,199.77,201.78,222.35,248.56,219.02,221.93,203.08,193.74,2550.13,,2671.27,2671.2654249733764,0.04750346060789057,2049.943729903537
1.244,EQUATORIAL GO,ENERVA,Jatobá 72,218.63,204.7,226.6,228.11,214.22,217.27,238.71,264.46,229.16,229,211.26,199.8,2681.92,,2678.81,2678.8054870828646,-0.001159616990812573,2155.8842443729905
1.244,EQUATORIAL GO,NOVASOL,Jatobá 73,208.69,195.83,216.38,216.83,202.99,206.09,226.61,251.44,219.63,220.65,201.13,191.65,2557.9200000000005,,2676.82,2676.8212602119465,0.046483080002501787,2056.205787781351
1.244,EQUATORIAL GO,ENERVA,Jatobá 74,210.6,196.83,215.43,212.99,196.85,198.52,218.98,245.01,217.67,221.46,203.13,193.86,2531.3300000000004,,2652.0300000000007,2652.0184243254716,0.047682443616597014,2034.8311897106112
1.244,EQUATORIAL GO,NEXUS,Jatobá 75,210.71,196.68,214.96,211.93,195.17,196.71,217.15,243.76,217.33,220.94,202.85,193.63,2521.82,,2642.9800000000005,2642.9901920627944,0.048044666153809645,2027.1864951768491
1.232,CPFL Pta,VERTA,Araucária 03,224.91,182.59,227.61,216.35,195.19,176.49,197.19,226.67,227.19,232.79,200.95,229.93,2537.86,,2549.86,2618.77,0.004728393213179638,2059.951298701299
1.3053333333333332,CPFL Pta,VERTA,Araucária 061,246.76,232.44,241.38,234.15,212.83,179.82,202.04,247.54,245.28,264.19,242.55,260.57,2809.55,,2851.766666666667,2851.766666666667,0.015026131112337193,2152.3621041879474
1.3053333333333332,CPFL Pta,VERTA,Araucária 062,246.97,232.55,241.54,234.41,212.96,180.18,202.12,247.66,245.45,264.28,242.78,260.84,2811.7400000000002,,2851.766666666667,2851.766666666667,0.014235550465785174,2154.0398365679266
1.3053333333333332,CPFL Pta,VERTA,Araucária 063,247.53,233.42,243.24,236.68,215.91,182.5,204.08,250.28,246.78,265.39,244.02,261.93,2831.7599999999998,,2851.766666666667,2851.766666666667,0.007065099678880582,2169.376915219612
6.102,CPFL Pta,NEXUS,Araucária 07,1130.4,985.22,1162.2,1076.5,928.33,881.85,974.96,1150.4,1143,1225.9,1157.3,1122.2,12938.26,,13013.07,13414.98,0.005782075796900044,2120.3310390036054
1.3040999999999998,CPFL Pta,VERTA,Araucária 22,239.64,225.87,248.96,230.63,211.21,178.83,196.6,221.35,231.1,258.9,250.2,254.89,2748.1799999999994,,2832.6,2832.6,0.030718511887867894,2107.338394294916
1.2205,CPFL Pta,VERTA,Araucária 81,235.13,226.78,227.68,216.45,201.74,185.58,203.84,187.67,231.9,250.82,245.34,249.6,2662.53,,2689.9399999999996,2754.17,0.010294719683909381,2181.507578861123
1.2205,CPFL Pta,VERTA,Araucária 82,234.82,226.78,221.07,217.05,202.65,186.65,204.9,207.7,232.63,250.92,244.92,235.69,2665.7800000000007,,2693.92,2759.3600000000006,0.010556009873282646,2184.1704219582143
0.561,COSERN,TELCO,Litoral 01,99.85,91.71,100.53,97.47,96.1,93.49,97.38,104.69,95.25,120.22,110.7,103.57,1210.96,,1221.546,1256.402,0.008741824668031972,2158.573975044563
0.559,COSERN,LOGIX,Litoral 02,90.03,93.99,88.18,99.84,105.97,97.28,100.53,113.98,111.97,121.41,112.74,106.49,1242.4099999999999,,1264.9519999999998,1295.254,0.01814376896515646,2222.558139534883
1.288,COSERN,DISTRA,Litoral 10,230.155,227.559,246.794,214.788,222.048,194.221,213.416,252.765,255.302,267.776,266.662,250.581,2842.067,,2926.8999999999996,2926.8999999999996,0.029849050004802757,2206.573757763975
1.288,COSERN,NEXUS,Litoral 12,218.57,223.32,233.8,238.12,255.73,229.06,237.57,271.7,270.01,274.71,259.7,252.58,2964.87,,2972.22,3030.5699999999997,0.0024790294346801467,2301.917701863354
1.288,COSERN,NOVASOL,Litoral 15,238.94,221.28,257.29,222.89,243.08,219.85,231.21,255.45,272.42,267.2,263.3,232.9,2925.81,,2997.7000000000003,2997.7000000000003,0.02457097350819093,2271.591614906832
